-51751.8   0.0860243
-51551.6   0.0881713
-51351.4   0.0903494
-51151.2   0.0925588
-50951   0.0947995
-50750.8   0.0970717
-50550.6   0.0993753
-50350.4   0.101711
-50150.2   0.104077
-49949.9   0.106476
-49749.7   0.108906
-49549.5   0.111369
-49349.3   0.113863
-49149.1   0.116388
-48948.9   0.118946
-48748.7   0.121536
-48548.5   0.124158
-48348.3   0.126812
-48148.1   0.129498
-47947.9   0.132216
-47747.7   0.134966
-47547.5   0.137748
-47347.3   0.140562
-47147.1   0.143408
-46946.9   0.146286
-46746.7   0.149197
-46546.5   0.152139
-46346.3   0.155113
-46146.1   0.158119
-45945.9   0.161158
-45745.7   0.164227
-45545.5   0.167329
-45345.3   0.170463
-45145.1   0.173628
-44944.9   0.176824
-44744.7   0.180053
-44544.5   0.183312
-44344.3   0.186603
-44144.1   0.189926
-43943.9   0.193279
-43743.7   0.196664
-43543.5   0.200079
-43343.3   0.203525
-43143.1   0.207002
-42942.9   0.21051
-42742.7   0.214048
-42542.5   0.217616
-42342.3   0.221215
-42142.1   0.224843
-41941.9   0.228501
-41741.7   0.232189
-41541.5   0.235907
-41341.3   0.239654
-41141.1   0.243429
-40940.9   0.247234
-40740.7   0.251068
-40540.5   0.25493
-40340.3   0.25882
-40140.1   0.262739
-39939.9   0.266685
-39739.7   0.270659
-39539.5   0.27466
-39339.3   0.278689
-39139.1   0.282745
-38938.9   0.286827
-38738.7   0.290935
-38538.5   0.29507
-38338.3   0.299231
-38138.1   0.303417
-37937.9   0.307628
-37737.7   0.311865
-37537.5   0.316126
-37337.3   0.320411
-37137.1   0.324721
-36936.9   0.329054
-36736.7   0.333411
-36536.5   0.337791
-36336.3   0.342193
-36136.1   0.346618
-35935.9   0.351065
-35735.7   0.355534
-35535.5   0.360024
-35335.3   0.364535
-35135.1   0.369067
-34934.9   0.373619
-34734.7   0.378191
-34534.5   0.382782
-34334.3   0.387392
-34134.1   0.392021
-33933.9   0.396668
-33733.7   0.401333
-33533.5   0.406015
-33333.3   0.410714
-33133.1   0.41543
-32932.9   0.420161
-32732.7   0.424909
-32532.5   0.429672
-32332.3   0.434449
-32132.1   0.43924
-31931.9   0.444046
-31731.7   0.448865
-31531.5   0.453696
-31331.3   0.45854
-31131.1   0.463396
-30930.9   0.468263
-30730.7   0.473141
-30530.5   0.47803
-30330.3   0.482928
-30130.1   0.487836
-29929.9   0.492752
-29729.7   0.497677
-29529.5   0.50261
-29329.3   0.50755
-29129.1   0.512497
-28928.9   0.51745
-28728.7   0.522408
-28528.5   0.527372
-28328.3   0.53234
-28128.1   0.537312
